"id","lat","lng","elevation","locationType","primarySegment_id","secondarySegment_id","wheelCount"
4288,"32.5716704245252","-97.0840204850856","0","Pig Run Point",8,"",""
4287,"32.5723049123892","-97.0844483415978","0","Pig Run Point",8,"",""
4286,"32.5729394002532","-97.08487619811","0","Pig Run Point",8,"",""
4285,"32.5735738881171","-97.0853040546222","0","Pig Run Point",8,"",""
4284,"32.5742083759811","-97.0857319111343","0","Pig Run Point",8,"",""
4283,"32.5748428638451","-97.0861597676465","0","Pig Run Point",8,"",""
4282,"32.5754773517091","-97.0865876241587","0","Pig Run Point",8,"",""
4281,"32.5761118395731","-97.0870154806709","0","Pig Run Point",8,"",""
4280,"32.5767463274371","-97.087443337183","0","Pig Run Point",8,"",""
4279,"32.5773808153011","-97.0878711936952","0","Pig Run Point",8,"",""
4278,"32.5780153031651","-97.0882990502074","0","Pig Run Point",8,"",""
4277,"32.5786497910291","-97.0887269067196","0","Pig Run Point",8,"",""
4276,"32.5792842788931","-97.0891547632317","0","Pig Run Point",8,"",""
4275,"32.5799187667571","-97.0895826197439","0","Pig Run Point",8,"",""
4274,"32.580553254621","-97.0900104762561","0","Pig Run Point",8,"",""
4273,"32.581187742485","-97.0904383327683","0","Pig Run Point",8,"",""
4272,"32.581822230349","-97.0908661892804","0","Pig Run Point",8,"",""
4271,"32.582456718213","-97.0912940457926","0","Pig Run Point",8,"",""
4270,"32.583091206077","-97.0917219023048","0","Pig Run Point",8,"",""
4269,"32.583725693941","-97.092149758817","0","Pig Run Point",8,"",""
4268,"32.584360181805","-97.0925776153291","0","Pig Run Point",8,"",""
4267,"32.584994669669","-97.0930054718413","0","Pig Run Point",8,"",""
4266,"32.585629157533","-97.0934333283535","0","Pig Run Point",8,"",""
4265,"32.586263645397","-97.0938611848657","0","Pig Run Point",8,"",""
4264,"32.586898133261","-97.0942890413778","0","Pig Run Point",8,"",""
4263,"32.5875326211249","-97.09471689789","0","Pig Run Point",8,"",""
4262,"32.5881671089889","-97.0951447544022","0","Pig Run Point",8,"",""
4261,"32.5888015968529","-97.0955726109144","0","Pig Run Point",8,"",""
4260,"32.5894360847169","-97.0960004674265","0","Pig Run Point",8,"",""
4259,"32.5900705725809","-97.0964283239387","0","Pig Run Point",8,"",""
4258,"32.5907050604449","-97.0968561804509","0","Pig Run Point",8,"",""
4257,"32.5913395483089","-97.0972840369631","0","Pig Run Point",8,"",""
4256,"32.5919740361729","-97.0977118934752","0","Pig Run Point",8,"",""
4255,"32.5926085240369","-97.0981397499874","0","Pig Run Point",8,"",""
4254,"32.5932430119009","-97.0985676064996","0","Pig Run Point",8,"",""
4253,"32.5938774997649","-97.0989954630118","0","Pig Run Point",8,"",""
4252,"32.5945119876288","-97.099423319524","0","Pig Run Point",8,"",""
4251,"32.5951464754928","-97.0998511760361","0","Pig Run Point",8,"",""
4250,"32.5957809633568","-97.1002790325483","0","Pig Run Point",8,"",""
4249,"32.5964154512208","-97.1007068890605","0","Pig Run Point",8,"",""
4248,"32.5970499390848","-97.1011347455727","0","Pig Run Point",8,"",""
4247,"32.5976844269488","-97.1015626020848","0","Pig Run Point",8,"",""
4246,"32.5983189148128","-97.101990458597","0","Pig Run Point",8,"",""
4245,"32.5989534026768","-97.1024183151092","0","Pig Run Point",8,"",""
4244,"32.5995878905408","-97.1028461716214","0","Pig Run Point",8,"",""
4243,"32.6002223784048","-97.1032740281335","0","Pig Run Point",8,"",""
4242,"32.6008568662687","-97.1037018846457","0","Pig Run Point",8,"",""
4241,"32.6014913541327","-97.1041297411579","0","Pig Run Point",8,"",""
4240,"32.6021258419967","-97.1045575976701","0","Pig Run Point",8,"",""
4239,"32.6027603298607","-97.1049854541822","0","Pig Run Point",8,"",""
4238,"32.6033948177247","-97.1054133106944","0","Pig Run Point",8,"",""
4237,"32.6040293055887","-97.1058411672066","0","Pig Run Point",8,"",""
4236,"32.6046637934527","-97.1062690237188","0","Pig Run Point",8,"",""
4235,"32.6052982813167","-97.1066968802309","0","Pig Run Point",8,"",""
4234,"32.6059327691807","-97.1071247367431","0","Pig Run Point",8,"",""
4233,"32.6065672570447","-97.1075525932553","0","Pig Run Point",8,"",""
4232,"32.6072017449087","-97.1079804497675","0","Pig Run Point",8,"",""
4231,"32.6078362327726","-97.1084083062796","0","Pig Run Point",8,"",""
4230,"32.6084707206366","-97.1088361627918","0","Pig Run Point",8,"",""
4229,"32.6091052085006","-97.109264019304","0","Pig Run Point",8,"",""
4228,"32.6097396963646","-97.1096918758162","0","Pig Run Point",8,"",""
4227,"32.6103741842286","-97.1101197323283","0","Pig Run Point",8,"",""
4226,"32.6110086720926","-97.1105475888405","0","Pig Run Point",8,"",""
4225,"32.6116431599566","-97.1109754453527","0","Pig Run Point",8,"",""
4224,"32.6122776478206","-97.1114033018649","0","Pig Run Point",8,"",""
4223,"32.6129121356846","-97.111831158377","0","Pig Run Point",8,"",""
4222,"32.6135466235486","-97.1122590148892","0","Pig Run Point",8,"",""
4221,"32.6141811114126","-97.1126868714014","0","Pig Run Point",8,"",""
4220,"32.6148155992765","-97.1131147279136","0","Pig Run Point",8,"",""
4219,"32.6154500871405","-97.1135425844257","0","Pig Run Point",8,"",""
4218,"32.6160845750045","-97.1139704409379","0","Pig Run Point",8,"",""
4217,"32.6167190628685","-97.1143982974501","0","Pig Run Point",8,"",""
4216,"32.6173535507325","-97.1148261539623","0","Pig Run Point",8,"",""
4215,"32.6179880385965","-97.1152540104744","0","Pig Run Point",8,"",""
4214,"32.6186225264605","-97.1156818669866","0","Pig Run Point",8,"",""
4213,"32.6192570143245","-97.1161097234988","0","Pig Run Point",8,"",""
4212,"32.6198915021885","-97.116537580011","0","Pig Run Point",8,"",""
4211,"32.6205259900525","-97.1169654365231","0","Pig Run Point",8,"",""
4210,"32.6211604779165","-97.1173932930353","0","Pig Run Point",8,"",""
4209,"32.6217949657804","-97.1178211495475","0","Pig Run Point",8,"",""
4208,"32.6224294536444","-97.1182490060597","0","Pig Run Point",8,"",""
4207,"32.6230639415084","-97.1186768625718","0","Pig Run Point",8,"",""
4206,"32.6236984293724","-97.119104719084","0","Pig Run Point",8,"",""
4205,"32.6243329172364","-97.1195325755962","0","Pig Run Point",8,"",""
4204,"32.6249674051004","-97.1199604321084","0","Pig Run Point",8,"",""
4203,"32.6256018929644","-97.1203882886205","0","Pig Run Point",8,"",""
4202,"32.6262363808284","-97.1208161451327","0","Pig Run Point",8,"",""
4201,"32.6268708686924","-97.1212440016449","0","Pig Run Point",8,"",""
4200,"32.6275053565564","-97.1216718581571","0","Pig Run Point",8,"",""
4199,"32.6281398444204","-97.1220997146692","0","Pig Run Point",8,"",""
4198,"32.6287743322843","-97.1225275711814","0","Pig Run Point",8,"",""
4197,"32.6294088201483","-97.1229554276936","0","Pig Run Point",8,"",""
4196,"32.6300433080123","-97.1233832842058","0","Pig Run Point",8,"",""
4195,"32.6306777958763","-97.1238111407179","0","Pig Run Point",8,"",""
4194,"32.6313122837403","-97.1242389972301","0","Pig Run Point",8,"",""
4193,"32.6319467716043","-97.1246668537423","0","Pig Run Point",8,"",""
4192,"32.6325812594683","-97.1250947102545","0","Pig Run Point",8,"",""
4191,"32.6332157473323","-97.1255225667666","0","Pig Run Point",8,"",""
4190,"32.6338502351963","-97.1259504232788","0","Pig Run Point",8,"",""
4189,"32.6344847230603","-97.126378279791","0","Pig Run Point",8,"",""
4188,"32.6351192109243","-97.1268061363032","0","Pig Run Point",8,"",""
4187,"32.6357536987882","-97.1272339928153","0","Pig Run Point",8,"",""
4186,"32.6363881866522","-97.1276618493275","0","Pig Run Point",8,"",""
4185,"32.6370226745162","-97.1280897058397","0","Pig Run Point",8,"",""
4184,"32.6376571623802","-97.1285175623519","0","Pig Run Point",8,"",""
4183,"32.6382916502442","-97.128945418864","0","Pig Run Point",8,"",""
4182,"32.6389261381082","-97.1293732753762","0","Pig Run Point",8,"",""
4181,"32.6395606259722","-97.1298011318884","0","Pig Run Point",8,"",""
